Weekly Prices time series,,,,,,,,,
,,,,,,,,,
,,Pump price in pence/litre,,,Duty rate in pence/litre,,,VAT percentage rate,
Date,,ULSP,ULSD,,ULSP,ULSD,,ULSP,ULSD
,,,,,,,,,
14/03/2011,,132.18,138.25,,58.95,58.95,,20.00,20.00
21/03/2011,,133.11,139.53,,58.95,58.95,,20.00,20.00
28/03/2011,,132.44,139.04,,57.95,57.95,,20.00,20.00
04/04/2011,,132.81,139.46,,57.95,57.95,,20.00,20.00
11/04/2011,,133.68,140.33,,57.95,57.95,,20.00,20.00
18/04/2011,,135.06,141.34,,57.95,57.95,,20.00,20.00
25/04/2011,,135.62,142.11,,57.95,57.95,,20.00,20.00
02/05/2011,,136.29,142.53,,57.95,57.95,,20.00,20.00
09/05/2011,,137.05,143.06,,57.95,57.95,,20.00,20.00
16/05/2011,,136.40,141.50,,57.95,57.95,,20.00,20.00
23/05/2011,,136.11,140.77,,57.95,57.95,,20.00,20.00
30/05/2011,,135.57,139.81,,57.95,57.95,,20.00,20.00
06/06/2011,,135.62,139.58,,57.95,57.95,,20.00,20.00
13/06/2011,,135.86,139.77,,57.95,57.95,,20.00,20.00
20/06/2011,,136.03,140.05,,57.95,57.95,,20.00,20.00
27/06/2011,,134.86,138.77,,57.95,57.95,,20.00,20.00
04/07/2011,,133.43,137.70,,57.95,57.95,,20.00,20.00
11/07/2011,,134.18,138.40,,57.95,57.95,,20.00,20.00
18/07/2011,,134.97,139.36,,57.95,57.95,,20.00,20.00
25/07/2011,,135.66,139.95,,57.95,57.95,,20.00,20.00
01/08/2011,,136.07,140.55,,57.95,57.95,,20.00,20.00
08/08/2011,,136.46,140.84,,57.95,57.95,,20.00,20.00
15/08/2011,,135.95,140.36,,57.95,57.95,,20.00,20.00
22/08/2011,,134.56,139.04,,57.95,57.95,,20.00,20.00
29/08/2011,,134.32,138.72,,57.95,57.95,,20.00,20.00
05/09/2011,,134.62,138.96,,57.95,57.95,,20.00,20.00
12/09/2011,,135.00,139.40,,57.95,57.95,,20.00,20.00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
